id,param_name,MAPE_%,sMAPE_%,err_%,accuracy_%
CHLFa_ug_l_spectro,Chlorofyl-a (ug/l)) met analyseprotocol Chlorofyl en faeofytine,40.804475940785714,51.75600598191729,51.75600598191729,48.24399401808271
Ca_mg_l_nf,Calcium na filtratie (mg/l),4.909840742717969,4.875671167685023,4.875671167685023,95.12432883231497
Cl_mg_l,Chloride (mg/l),12.144223221127168,11.429895631029067,11.429895631029067,88.57010436897093
E__m_L380nm,"Extinctie bij 380 nm, maat voor humuszuren (/m)",40.29297230634596,50.67376586030223,50.67376586030223,49.32623413969777
E__m_L440nm,"Extinctie bij 440 nm, maat voor humuszuren (/m)",40.73552320604727,51.275433541966834,51.275433541966834,48.724566458033166
FEOa_ug_l,Feofytine (ug/l),31.034951897363666,37.41957455685069,37.41957455685069,62.58042544314931
GELDHD_mS_m_25oC,Geleidendheid of EGV bij referentietemperatuur 25oC,14.968882253382674,13.862407168703927,13.862407168703927,86.13759283129608
MGETAL_mgHCO3_l_nf,M-getal na filtratie (uitgedrukt in mg bicarbonaat/l),5.542013143432499,5.711356463101898,5.711356463101898,94.2886435368981
NH3_mgN_l_nf,Ammoniak na filtratie (uitgedrukt in mg stikstof/l),36.15168636226929,45.086108689568526,45.086108689568526,54.913891310431474
NH4_mgN_l_nf,Ammonium na filtratie (uitgedrukt in mg stikstof/l),50.84426008539445,68.9465391726101,68.9465391726101,31.053460827389898
NKj_mgN_l,Kjehldahl stikstof (uitgedrukt in mg stikstof/l),30.748367604530348,36.47071621874726,36.47071621874726,63.52928378125274
NO2_mgN_l_nf,Nitriet na filtratie (uitgedrukt in mg stikstof/l),49.38794701498732,66.65168835714583,66.65168835714583,33.34831164285417
NO3_mgN_l_nf,Nitraat na filtratie (uitgedrukt in mg stikstof/l),35.62526497519463,43.67771196711569,43.67771196711569,56.32228803288431
Ntot_mgN_l,Stikstof (uitgedrukt in mg stikstof),32.042542292213035,38.28749009862391,38.28749009862391,61.71250990137609
O2__,Zuurstofverzadigingspercentage,3.221815826471904,3.3511600748997084,3.3511600748997084,96.64883992510029
O2_mg_l,Zuurstof (mg/l),5.145876672732279,5.522531711178799,5.522531711178799,94.4774682888212
PO4_mgP_l_nf,Ortho-fosfaat na filtratie (uitgedrukt in mg fosfor/l),73.6841114113527,121.12265948865024,100.0,0.0
Ptot_mgP_l,Fosfor (uitgedrukt in mg fosfor/l),33.89615918731979,40.954061623319795,40.954061623319795,59.045938376680205
SO4_mg_l_nf,Sulfaat na filtratie (mg/l),22.180909694852346,25.216377017688604,25.216377017688604,74.7836229823114
T_oC,Temperatuur (oC),12.318870298985809,11.440906733690502,11.440906733690502,88.5590932663095
ZICHT_m,Doorzicht (m),11.41708186690518,10.600667413010086,10.600667413010086,89.39933258698991
ZS_mg_l,Zwevende stof (mg/l),45.436424805424764,59.339753854245686,59.339753854245686,40.660246145754314
pH,Zuurgraad,1.6165211230567036,1.6001356877309123,1.6001356877309123,98.39986431226909
sNO3NO2_mgN_l_nf,Som nitraat en nitriet na filtratie (uitgedrukt in mg stikstof/l) (mg/l),17.34882117450903,19.162239652028124,19.162239652028124,80.83776034797188
